computer tape reel,ch
film roll,mo
stereograph disc,es
aperture card,ha
microfilm cassette,hc
other microform carrier,hz
audio disc,sd
microfiche,he
card,no
microopaque,hg
other microscopic carrier,pz
online resource,cr
stereograph card,eh
slide,gs
film cassette,mf
computer tape cartridge,ca
sheet,nb
other computer carrier,cz
computer disc cartridge,ce
audiotape reel,st
filmslip,gd
videodisc,vd
filmstrip,gf
videocassette,vf
microfilm cartridge,hb
computer card,ck
other audio carrier,sz
film reel,mr
microfilm reel,hd
audio cylinder,se
flipchart,nn
microfiche cassette,hf
audio cartridge,sg
other stereographic carrier,ez
microfilm slip,hh
sound track reel,si
object,nr
microfilm roll,hj
film cartridge,mc
other projected carrier,mz
videotape reel,vr
overhead transparency,gt
roll,na
computer chip cartridge,cb
audio roll,sq
volume,nc
other unmediated carrier,nz
computer disc,cd
unspecified,zu
audiocassette,ss
filmstrip cartridge,gc
microscope slide,pp
computer tape cassette,cf
video cartridge,vc
other video carrier,vz
