fieldtagv,volumeRange,dateRange
v. 36-37 (Nov. 1965-Oct. 1967),"[36, 37]","[1965-11, 1967-10]"
v. 67 (May-Oct. 1996),"[67, 67]","[1996-05, 1996-10]"
v. 70-73 (Sept. -Dec. 1955),"[70, 73]","[1955-09, 1955-12]"
"v. 1-2, 1985-86","[1, 2]","[1985, 1986]"
1992:Feb.-Mar.,,"[1992-02, 1992-03]"
2009:spring,,"[2009-03, 2009-06]"
"v. 93, no. 3 (autumn 2013)","[93, 93]","[2013-09, 2013-12]"
v. 3-4 (Mar. 1969-Winter 1970),"[3, 4]","[1969-03, 1971-03]
OR
[1969-03, 1970-03] ??"
Aug. 1976,,"[1976-08, 1976-08]"
"May 1, 1888 - Aug 31, 1888",,"[1888-05-01, 1888-08-31]"
"v. 10, no. 1 - 4 (win. - aut. 1976) inde","[10, 10]","[1976-01, 1976-12] ??"
1969-76,,"[1969, 1976]"
Jan.-Dec. 1967,,"[1967-01, 1967-12]"
1964-65,,"[1964, 1965]"
"Jan. 2, 1964-July 29, 1965",,"[1964-01-02, 1965-07-29]"
Mar. 1969-Winter 1970,,"[1969-03, 1970-12-21]
OR
[1969-03, 1970-03] ??"
1985-86,,"[1985, 1986]"
Nov. 1965-Oct. 1967,,"[1965-11, 1967-10]"
1992:Feb.-Mar,,"[1992-01, 1992-03]"
autumn 2013,,"[2013-09, 2013-12]"
1904/1905,,"[1904, 1905]"
1951/52-1959/60,,"[1951, 1960]"
1934/1935-1935/1936,,"[1934, 1936]"
2011,,"[2011,2011]"
"v. 6-7 no. 2, 5-v. 8 no. 1 (Oct. 1961-Sept./Oct. 1962, May-June/July 1963)","[6, 8]","[1961-10, 1962-10]
[1963-05, 1963-07]"
1936 Mar,,"[1936-03,1936-03]"
v. 7,"[7,7]",
no. 42 (1996),"[42,42]","[1996,1996]"
1928,,"[1928,1928]"
"r. 16: v. 64, no. 1-26 (Jan. 4, 1991-June 28, 1991)","[64,64]","[1991-01-04,1991-06-28]"
v. 38 (1912),"[38,38]","[1912,1912]"
Box 553,"[553,553]",
