Code,Branch / Collection Label,Research/Branch,Actual Location
ag,Aguilar,,
aga,Aguilar Adult,,
aga01,Aguilar Reference,,
aga03,Aguilar Closed Shelf Reference,,
aga0f,Aguilar Fiction,,
aga0l,Aguilar World Languages,,
aga0n,Aguilar Non-Fiction,,
aga0v,Aguilar Non-Print Media,,
aga0w,Aguilar Center for Reading & Writing,,
agar,Aguilar Adult Reference,,
agj,Aguilar Children ,,
agj01,Aguilar Children's Reference,,
agj0a,Aguilar Children's Easy Book,,
agj0f,Aguilar Children's Fiction,,
agj0h,Aguilar Children's Holiday Book,,
agj0i,Aguilar Children's Picture Book,,
agj0l,Aguilar Children's World Languages,,
agj0n,Aguilar Children's Non-Fiction,,
agj0t,Aguilar Children's Fairy Tale,,
agj0v,Aguilar Children's Non-Print Media,,
agj0y,Aguilar Children's Young Reader,,
agjr,Aguilar Children's Reference,,
agy,Aguilar Young Adult,,
agy01,Aguilar YA Reference,,
agy0f,Aguilar YA Fiction,,
agy0l,Aguilar YA World Languages,,
agy0n,Aguilar YA Non-Fiction,,
agy0v,Aguilar YA Non-Print Media,,
agyr,Aguilar Young Adult Reference,,
agzzz,Aguilar (error code),,
al,Allerton,,
ala,Allerton Adult,,
ala01,Allerton Reference,,
ala03,Allerton Closed Shelf Reference,,
ala0f,Allerton Fiction,,
ala0l,Allerton World Languages,,
ala0n,Allerton Non-Fiction,,
ala0v,Allerton Non-Print Media,,
alar,Allerton Adult Reference,,
alj,Allerton Children,,
alj01,Allerton Children's Reference,,
alj0a,Allerton Children's Easy Book,,
alj0f,Allerton Children's Fiction,,
alj0h,Allerton Children's Holiday Book,,
alj0i,Allerton Children's Picture Book,,
alj0l,Allerton Children's World Languages,,
alj0n,Allerton Children's Non-Fiction,,
alj0t,Allerton Children's Fairy Tale,,
alj0v,Allerton Children's Non-Print Media,,
alj0y,Allerton Children's Young Reader,,
aljr,Allerton Children's Reference,,
aly,Allerton Young Adult,,
aly01,Allerton YA Reference,,
aly0f,Allerton YA Fiction,,
aly0l,Allerton YA World Languages,,
